epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,13.7747,0.70672,0.80795,1.16316,0.71068,0.65,0.84691,0.53168,1.58241,1.49727,1.34027,2.82082e-05,2.82082e-05,2.82082e-05
40,14.1146,0.78437,0.99058,1.17292,0.71068,0.65,0.84691,0.53168,1.58241,1.49727,1.34027,2.84911e-05,2.84911e-05,2.84911e-05
41,14.4675,0.75688,1.11763,1.1123,0.69794,0.65,0.84672,0.52537,1.57601,1.55621,1.34207,2.87504e-05,2.87504e-05,2.87504e-05
42,14.807,0.94488,1.09815,1.2083,0.69794,0.65,0.84672,0.52537,1.57601,1.55621,1.34207,2.89861e-05,2.89861e-05,2.89861e-05
43,15.1613,0.98417,1.03694,1.46187,0.80063,0.6403,0.76265,0.45244,1.58756,1.64923,1.35165,2.91983e-05,2.91983e-05,2.91983e-05
44,15.5003,0.70483,0.93872,1.09543,0.80063,0.6403,0.76265,0.45244,1.58756,1.64923,1.35165,2.93869e-05,2.93869e-05,2.93869e-05
45,15.8562,0.6792,1.43755,1.10429,0.81547,0.63053,0.69827,0.37758,1.57386,1.66278,1.34732,2.9552e-05,2.9552e-05,2.9552e-05
46,16.1989,0.86592,1.02804,1.25811,0.81547,0.63053,0.69827,0.37758,1.57386,1.66278,1.34732,2.96935e-05,2.96935e-05,2.96935e-05
47,16.5488,0.89194,0.73344,1.2725,0.80362,0.6415,0.6985,0.37788,1.57067,1.70931,1.36206,2.98114e-05,2.98114e-05,2.98114e-05
48,16.8852,0.78745,1.04335,1.14997,0.80362,0.6415,0.6985,0.37788,1.57067,1.70931,1.36206,2.99058e-05,2.99058e-05,2.99058e-05
49,17.2353,1.00898,1.10242,1.37782,0.7142,0.65,0.70124,0.37407,1.56415,1.71693,1.35894,2.99766e-05,2.99766e-05,2.99766e-05
50,17.576,0.64967,0.86038,1.10261,0.7142,0.65,0.70124,0.37407,1.56415,1.71693,1.35894,3.00238e-05,3.00238e-05,3.00238e-05
51,17.9262,0.71612,0.92295,1.21158,0.75998,0.65,0.68819,0.35632,1.56662,1.78711,1.36271,3.00475e-05,3.00475e-05,3.00475e-05
52,18.265,0.83002,1.66395,1.18474,0.75998,0.65,0.68819,0.35632,1.56662,1.78711,1.36271,3.00476e-05,3.00476e-05,3.00476e-05
53,18.6776,0.618,0.99948,1.07033,0.75998,0.65,0.68819,0.35632,1.56662,1.78711,1.36271,3.00242e-05,3.00242e-05,3.00242e-05
54,19.03,0.73103,0.98878,1.10564,0.7961,0.48333,0.68833,0.35125,1.5859,1.88378,1.37308,2.99772e-05,2.99772e-05,2.99772e-05
55,19.3669,0.69475,1.16612,1.16661,0.7961,0.48333,0.68833,0.35125,1.5859,1.88378,1.37308,2.99066e-05,2.99066e-05,2.99066e-05
56,19.7046,0.68654,0.8479,1.22997,0.7961,0.48333,0.68833,0.35125,1.5859,1.88378,1.37308,2.98125e-05,2.98125e-05,2.98125e-05
57,20.0598,0.73708,0.72079,1.22135,0.80217,0.48333,0.69507,0.35661,1.60412,1.94127,1.37326,2.96948e-05,2.96948e-05,2.96948e-05
58,20.3956,0.79978,1.10137,1.20064,0.80217,0.48333,0.69507,0.35661,1.60412,1.94127,1.37326,2.95535e-05,2.95535e-05,2.95535e-05
59,20.7329,0.75029,0.71045,1.24241,0.80217,0.48333,0.69507,0.35661,1.60412,1.94127,1.37326,2.93887e-05,2.93887e-05,2.93887e-05
60,21.0838,0.78206,1.04266,1.31692,0.7786,0.48333,0.56115,0.27993,1.68801,1.97885,1.40868,2.92003e-05,2.92003e-05,2.92003e-05
61,21.4932,0.58667,0.67088,1.0613,0.7786,0.48333,0.56115,0.27993,1.68801,1.97885,1.40868,2.89884e-05,2.89884e-05,2.89884e-05
62,21.8328,0.74587,1.00267,1.28994,0.7786,0.48333,0.56115,0.27993,1.68801,1.97885,1.40868,2.87529e-05,2.87529e-05,2.87529e-05
63,22.1828,0.68682,0.86022,1.16953,0.79943,0.48333,0.54839,0.27011,1.67728,1.99831,1.4085,2.84938e-05,2.84938e-05,2.84938e-05
64,22.5163,0.78416,0.75596,1.0686,0.79943,0.48333,0.54839,0.27011,1.67728,1.99831,1.4085,2.82112e-05,2.82112e-05,2.82112e-05
65,22.8512,0.62204,0.70353,1.04115,0.79943,0.48333,0.54839,0.27011,1.67728,1.99831,1.4085,2.7905e-05,2.7905e-05,2.7905e-05
